,art_movement,primary_medium,pl,sh,representation,spatial_dimension,s_no,labels
108,9,2,3,3,0,0,110,15
109,9,2,4,4,1,0,111,0
110,1,1,4,1,0,1,112,6
111,7,5,2,4,1,1,113,17
112,4,2,4,4,0,0,114,8
113,9,2,4,4,0,0,115,15
114,25,4,4,4,1,0,116,2
115,9,1,4,4,1,1,117,15
116,23,4,5,2,1,0,118,2
117,5,0,1,4,0,0,119,5
118,28,2,2,4,0,0,120,14
119,4,2,4,4,0,0,121,8
120,9,1,4,2,0,1,122,15
121,11,2,2,5,1,0,123,12
122,11,2,4,4,0,0,124,12
123,25,2,0,3,1,0,125,1
124,7,3,2,4,1,0,126,9
125,7,2,4,4,0,0,127,0
